"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","23/01/2022","2500","8000","6900"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","30/01/2022","2500","6000","4900"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","06/02/2022","2300","6400","5700"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","13/02/2022","3000","8100","6900"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","20/02/2022","3000","6900","5800"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","06/03/2022","2800","6000","5200"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","13/03/2022","2800","7300","6900"
"Karnataka","Belgaum","Ramdurga","Goat","Goat","01/05/2022","3400","6900","5000"
"Karnataka","Bellary","H.B. Halli","Goat","Goat","31/01/2022","3500","13000","7500"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","05/02/2022","4400","6200","5400"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","14/02/2022","4100","5900","5100"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","19/02/2022","4300","6000","5150"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","28/02/2022","4100","6000","5135"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","05/03/2022","4300","6000","5410"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","14/03/2022","4100","6000","5330"
"Karnataka","Chikmagalur","Bagepalli","Goat","Goat","19/03/2022","4200","6000","5300"
"Karnataka","Dharwad","Annigeri","Goat","Goat","03/02/2022","12000","12000","12000"
"Karnataka","Dharwad","Annigeri","Goat","Goat","29/03/2022","1500","1500","1500"
"Karnataka","Hassan","Channarayapatna","Goat","Goat","10/05/2022","5000","13000","10000"
"Karnataka","Haveri","Hirekerur","Goat","Goat","18/03/2022","6000","7000","6800"
"Karnataka","Tumkur","Gubbi","Goat","Goat","28/01/2022","9000","10000","10000"
"Karnataka","Tumkur","Gubbi","Goat","Goat","01/02/2022","10000","11000","11000"
"Karnataka","Tumkur","Gubbi","Goat","Goat","07/02/2022","9000","10000","9000"
"Karnataka","Tumkur","Gubbi","Goat","Goat","14/02/2022","9000","10000","10000"
"Karnataka","Tumkur","Gubbi","Goat","Goat","21/02/2022","10000","11000","11000"
"Karnataka","Tumkur","Gubbi","Goat","Goat","28/02/2022","10000","11000","11000"
"Karnataka","Tumkur","Gubbi","Goat","Goat","07/03/2022","10000","11000","11000"
